name,address,telephone,parlimen,dun,latitude,longitude
McDonald'sPetronasKLIADT,"LotPT3906,JalanTerminalKLIA(Outbound),64000,Sepang,Selangor,Malaysia",016-2232827,P.113 Sepang,N.56 Sungai Pelek,2.764666,101.683261
McDonald'sPrimaSaujanaKajangDT,"LotPT52317,PrimaSaujana,MukimKajang,43000,Kajang,Selangor,Malaysia",03-87416420,P.101 Hulu Langat,N.24 Semenyih,3.007491,101.804351
McDonald'sMelakaMallDT,"SebahagianLotPT3368,LebohAyehKeroh,MukimBukitBaru,75450,Melaka,Malaysia",06-3170712,P.137 Hang Tuah Jaya,N.17 Bukit Katil,2.231665,102.281344
McDonald'sDataranPahlawan2,"FG-15&FG-16,GroundFloor,DataranPahlawanMelakaMegamall,JalanMerdeka,75000,Melaka,Malaysia",06-2866079,P.138 Kota Melaka,N.22 Bandar Hilir,2.190281,102.252978
McDonald'sKBMall,"LotNo.29A&30,GroundFloor,KBMall,JalanHamzah,15050,KotaBharu,Kelantan,Malaysia",09-7419787,P.021 Kota Bharu,N.09 Kota Lama,6.117193,102.240196
McDonald'sPuchongGatewayDT,"LotNo.48733,MukimPetalingLDPPuchongGateway,47100,Puchong,Selangor,Malaysia",03-89586508,P.103 Puchong,N.29 Seri Serdang,2.981733,101.648354
McDonald'sBandarPerdaDT,"PT860,HS(D)1217,BandarPerda,Mukim6,DaerahSeberangPraiTengah,14000,PulauPinang,Malaysia",04-3830675,P.044 Permatang Pauh,N.10 Seberang Jaya,5.36814,100.424111
McDonald'sPasirGudangDT,"LotPT69990,HSD124966,JalanBandarMukimPlentong,BandarBaruPasirGudang,81700PasirGudang,Johor,Malaysia",07-2526102,P.159 Pasir Gudang,N.43 Permas,1.470203,103.905013
McDonald'sKotaTinggi,"BlockA,Lot2Aras1,Aras2&Lot1Aras1,JalanNiaga11,MukimKotaTinggi,DaerahKotaTinggi,81900,KotaTinggi,Johor,Malaysia",07-8828825,P.156 Kota Tinggi,N.37 Johor Lama,1.729912,103.902428
McDonald'sSunwayCityIpohDT,"Lot303521,SunwayCity,MukimHuluKinta,DaerahKinta,31150UluKinta,Ipoh,Perak,Malaysia",05-5452194,P.063 Tambun,N.24 Hulu Kinta,4.624887,101.151631
McDonald'sPutraNilaiDT,"PT1134,PersiaranPusatBandar,71800Nilai,NegeriSembilan,Malaysia",06-7971888,P.128 Seremban,N.10 Nilai,2.822465,101.793611
McDonald'sPetronasMRR2KepongDT,"Lot25747,LebuhRayaSelayang,KepongLebuhRaya,LingkaranTengah2(MRR2),52100,Kepong,KualaLumpur,Malaysia",03-62596498,P.115 Batu,,3.229265,101.65503
McDonald'sBukitIndahDT,"No.57,JalanIndah15/2,BukitIndah,81200,JohorBahru,Johor,Malaysia",07-2385535,P.161 Pulai,N.46 Perling,1.48168,103.65776
McDonald'sPengkalanDT,"No.686,JalanPasirPuteh,PengkalanPegoh,31500,Ipoh,Perak,Malaysia",05-3203764,P.064 Ipoh Timor,N.26 Tebing Tinggi,4.542201,101.07017
McDonald'sPuncakAlamDT,"Lot10655,JalanUtama,BandarPuncakAlam,45010,KualaSelangor,Selangor,Malaysia",03-33924370,P.107 Sungai Buloh,N.38 Paya Jaras,3.221722,101.447869
McDonald'sKamparDT,"SebahagianLotNo.126028,JalanBatuSinar,TamanBandarBaruKampar,31900,Kampar,Perak,Malaysia",05-4658626,P.070 Kampar,N.42 Keranji,4.326304,101.144709
McDonald's1Utama,"LotLG221,LowerGroundFloorPromenade,1UtamaShoppingCentre,PersiaranBandarUtama,BandarUtama,47800,PetalingJaya,Selangor,Malaysia",03-77262361,P.106 Damansara,N.36 Bandar Utama,3.150325,101.615344
McDonald'sSibu,"ShopLotNo.2(Ground&1stFloor)andShopLotNo.4(GroundFloor),CausewayRoad,96007,Sibu,Sarawak,Malaysia",084-335522,P.211 Lanang,N.51 Bukit Assek,2.290759,111.826063
McDonald'sMiriPermyjaya,"Lot5993,Block11,K.B.L.D.DesaIndah3,JalanTudan,BandarBaruPermyjaya,98000,Miri,Sarawak,Malaysia",085-641587,P.219 Miri,N.75 Senadin,4.471653,114.042988
McDonald'sDungun,"GroundFloor&1stFloor,JalanBaruPakSabah,MukimKualaDungun,23000,Dungun,Terengganu,Malaysia",09-8441334,P.039 Dungun,N.27 Sura,4.755274,103.414494
McDonald'sKulimDT,"No.28,JalanKLC1,KulimLandmarkCentral,09000Kedah,Malaysia",04-4903063,P.017 Padang Serai,N.34 Lunas,5.383114,100.545805
McDonald'sUluTiramDT,"SebahagianLotPTD19827,MukimTebrau,UluTiram,81800,JohorBahru,Johor,Malaysia",07-8633429,P.158 Tebrau,N.40 Tiram,1.594882,103.82003
McDonald'sCalteBandarPuteriKlangDT,"Lot133826,LebuhSanggul1/KS7,BandarPuteri,41200,Klang,Selangor,Malaysia",03-51623985,P.111 Kota Raja,N.49 Sungai Kandis,2.988257,101.465999
McDonald'sPetronasBatuFerringhiDT,"Lot697&Lot764,JalanBatuFerringi,Seksyen2,BandarBaruFerringi,DaerahTimurLaut,11100,PulauPinang,Malaysia",04-8812516,P.048 Bukit Bendera,N.22 Tanjong Bunga,5.475314,100.251541
McDonald'sKualaSelangorDT,"Lot640,TelukPiah,MukimKualaSelangor,45000,KualaSelangor,Selangor,Malaysia",03-32811285,P.096 Kuala Selangor,N.10 Bukit Melawati,3.330028,101.258749
McDonald'sMutiaraDamansaraDT,"Lot69683,JalanPJU7/5,MutiaraDamansara,MukimSungaiBuloh,DaerahPetaling,45000,Selangor,Malaysia",03-77242782,P.106 Damansara,N.37 Bukit Lanjan,3.158188,101.613659
McDonald'sSemenyihDT,"Lot1809,Batu22,JalanBeranang,MukimSemenyih,DaerahHuluLangat,43500,Selangor",03-87230592,P.101 Hulu Langat,N.24 Semenyih,2.936787,101.8526
McDonald'sParitRajaDT,"Lot20398HS(D)59406,MKSriGading,83300,BatuPahat,Johor,Malaysia",07-4535286,P.149 Sri Gading,N.22 Parit Raja,1.848982,103.075914
McDonald'sLotussTanjungPinang,"LotG10,11,12,13&14,TescoTanjungPinang,No1,JalanSeriTanjungPinang,10470,TanjungTokong,PulauPinang,Malaysia",04-8903551,P.048 Bukit Bendera,N.22 Tanjong Bunga,5.459071,100.30883
McDonald'sTescoSeremban2,"No1,JalanHaruan2,70300,Seremban,NegeriSembilan,Malaysia",06-6315613,P.130 Rasah,N.21 Bukit Kepayang,2.711553,101.91543
McDonald'sMountAustinDT,"Lot110034,JalanAustinHeights3,TamanMountAustin,MukimTebrau,81100,JohorBahru,Johor,Malaysia",07-3531918,P.158 Tebrau,N.41 Puteri Wangsa,1.557757,103.781721
McDonald'sSetiaTropikaDT,"Lot141190,JalanSetiaTropika1/21,TamanSetiaTropika,MukimTebrau,81100,JohorBahru,Johor,Malaysia",07-2342618,P.158 Tebrau,N.41 Puteri Wangsa,1.548749,103.715152
McDonald'sBandarUtamaCheng,"No.75,JalanInang3,TamanPayaRumputUtama,76450,BandarCheng,Melaka,Malaysia",06-3122476,P.136 Tangga Batu,N.13 Paya Rumput,2.280646,102.215438
McDonald'sBatuBerendamDT,"LotPT13668,MukimBatuBerendam,MelakaTengah,75350,HangTuahJaya,Melaka,Malaysia",06-3173461,P.138 Kota Melaka,N.19 Kesidang,2.251997,102.2459
McDonald'sKotaWarisanDT,"PintasanDengkilByPass(B29),43900,Sepang,Selangor,Malaysia",03-87068788,P.113 Sepang,N.55 Dengkil,2.817261,101.69428
McDonald'sCittaMall,"G-43,CittaMall,No1,JalanPJU1A/48,PJU1A,AraDamansara,47301,PetalingJaya,Selangor,Malaysia",03-78316952,P.105 Petaling Jaya,N.32 Seri Setia,3.11277,101.579786
McDonald'sPetronasMiriDT,"Lot1050(A),JalanBulanSabit,Block7,MCLD,98000,Miri,Sarawak,Malaysia",085-422117,P.219 Miri,N.74 Pujut,4.412187,114.003077
McDonald'sSimpangDT,"No.97JalanBesar,JalanSimpang,34000,Taiping,Perak,Malaysia",05-8472324,P.060 Taiping,N.18 Aulong,4.822039,100.707831
McDonald'sJalanKualaKangsarDT,"MukimHuluKinta,DaerahKinta,JalanKualaKangsar,31400,Ipoh,Perak,Malaysia",05-5250562,P.065 Ipoh Barat,N.29 Kepayang,4.633787,101.087556
McDonald'sSandakanDT,"SebahagianCL075477584,Batu6,JalanUtara,90000,Sandakan,Sabah,Malaysia",089-235265,P.185 Batu Sapi,N.53 Sekong,5.863514,118.05596
McDonald'sPDWaterfrontDT,"No.27,JalanPersiaran,PDWaterfront,71010,PortDickson,NegeriSembilan,Malaysia",06-6463188,P.132 Port Dickson,N.33 Sri Tanjung,2.521093,101.800038
McDonald'sJlnApasTawauDT,"CL.105509868AtMile4,JalanApas,91000,Tawau,Sabah,Malaysia",089-913322,P.190 Tawau,N.69 Sri Tanjong,4.251907,117.920815
McDonald'sM2Mall,"Lot1,Level1,BUSANA,MenaraMARA,No.232,JalanTuankuAbdulRahman,50100,KualaLumpur,Malaysia",03-22028034,P.120 Bukit Bintang,,3.157924,101.695732
McDonald'sShellJalanSulamanDT,"OffJalanSulamanHighway,88000,KotaKinabalu,Sabah,Malaysia",088-387502,P.171 Sepanggar,N.16 Karambunai,6.018261,116.114743
McDonald'sSetiaCityMall,"UnitNo.LG-40,SetiaCityMall,No.7,PersiaranSetiaDagang,BandarSetiaAlam,SeksyenU13,40170,ShahAlam,Selangor,Malaysia",03-33585287,P.108 Shah Alam,N.40 Kota Anggerik,3.109525,101.461522
McDonald'sPontianDT,"Lot13182,JalanDelima,MukimBandarPontianKecil,82000,Pontian,Johor,Malaysia",07-6883200,P.164 Pontian,N.54 Pulai Sebatang,1.478419,103.392124
McDonald'sKlebangDT,"PT238632,PersiaranKlebangPutra,TamanKlebangPutra,31200Chemor,Perak,Malaysia",05-2913269,P.063 Tambun,N.23 Manjoi,4.685182,101.120584
McDonald'sPersiaranRajaMudaMusaDT,"LotPT3358,Seksyen31,PersiaranRajaMudaMusa(KS05),BandarKlang,DaerahKlang,41200,Klang,Selangor,Malaysia",03-33701539,P.110 Klang,N.47 Pandamaran,3.026235,101.423601
McDonald'sUnderwaterWorldLangkawi,"PantaiCenang,07000,Langkawi,Kedah,Malaysia",04-9551565,P.004 Langkawi,N.02 Kuah,6.286845,99.72959
McDonald'sInderaMahkotaDT,"LotPT96403,BandarInderaMahkota,MukimKualaKuantan,25200,Kuantan,Pahang,Malaysia",09-5737552,P.082 Indera Mahkota,N.13 Semambu,3.825664,103.304488
McDonald'sSeriIskandarDT,"Plot531,BandarSeriIskandar,MukimBota,32600,PerakTengah,Perak,Malaysia",05-3713275,P.069 Parit,N.40 Bota,4.357689,100.969653
McDonald'sMITCMelakaDT,"Lot15702,MukimBukitKatil,DaerahMelakaTengah,HangTuahJaya,75450,Melaka,Malaysia",06-2314743,P.137 Hang Tuah Jaya,N.16 Ayer Keroh,2.273822,102.285796
McDonald'sTaipingLakeGardenDT,"Lot3410(PT1238),JalanSultanMansor,DaerahLarutDanMatang,34000,Taiping,Perak,Malaysia",05-8088795,P.060 Taiping,N.17 Pokok Assam,4.85431,100.745349
McDonald'sHarbourMallSandakan,"LotG09,G10&G12A,HarbourMallSandakan,SandakanHarbourSquare,90000,Sandakan,Sabah,Malaysia",089-276276,P.186 Sandakan,N.56 Tanjong Papat,5.838595,118.119511
McDonald'sNongChikDT,"SebahagianLotPT22062,JalanKolamAir,BandarJohorBahru,80100,JohorBahru,Johor,Malaysia",07-2209040,P.161 Pulai,N.46 Perling,1.462667,103.738872
McDonald'sPengkalanChepaDT,"JalanBendahara1/36,TamanBendahara,PengkalanChepa,16100,KotaBaru,Kelantan,Malaysia",09-7731763,P.020 Pengkalan Chepa,N.06 Chempaka,6.163431,102.283544
McDonald'sPekanDT,"SebahagianTanahTamanTasikSultanAbuBakar,26600,PekanBandarDiRaja,Pekan,Pahang,Malaysia",09-4269299,P.085 Pekan,N.21 Peramu Jaya,3.539354,103.385463
McDonald'sKotaEmeraldDT,"SebahagianLot1246,MukimRawang,DaerahGombak,48000,Rawang,Selangor,Malaysia",03-60915570,P.097 Selayang,N.14 Rawang,3.317667,101.538584
McDonald'sTescoAlmaDT,"SebahagianLot17493,JalanRozhan,PusatPerniagaanSeriImpian,14000,BukitMertajam,PulauPinang,Malaysia",604-5308379,P.045 Bukit Mertajam,N.14 Machang Bubuk,5.315285,100.477512
McDonald'sBertamDT,"SebahagianLot20016,Mukim06,SeberangPeraiUtara,13200,PulauPinang,Malaysia",04-5755358,P.041 Kepala Batas,N.03 Pinang Tunggal,5.517539,100.450306
McDonald'sTriangDT,"SebahagianPT25213,MukimTriang,DaerahBera,28300,Temerloh,Pahang,Malaysia",09-2556350,P.090 Bera,N.38 Triang,3.25927,102.435187
McDonald'sTemerlohDT,"SebahagianLot1304Sek.05(GM7677),MukimPerak,28000,Temerloh,Pahang,Malaysia",09-2962529,P.088 Temerloh,N.32 Kuala Semantan,3.451867,102.409495
McDonald'sTTDI(TamanTunDrIsmail),"No.2,2A&B,JalanTunMohdFuad2,TamanTunDrIsmail,60000,KualaLumpur,Malaysia",603-77221767,P.117 Segambut,,3.140522,101.629209
McDonald'sBintuluDT,"Lots119&120,Block32,KemenaLandDistrict,JalanTunHusseinOnn,97000,Bintulu,Sarawak,Malaysia",086-312124,P.217 Bintulu,N.68 Tanjong Batu,3.19756,113.079632
McDonald'sPlazaMerdeka,"LotNos.G-12,G-13,PartOfL1-15andAlfrescoArea,PlazaMerdeka,No88,PearlStreet,93000,Kuching,Sarawak,Malaysia",082-232479,P.195 Bandar Kuching,N.09 Padungan,1.558775,110.344069
McDonald'sKluangDT,"265&343,GM.3095DanGM.3096,JalanKluang-AirHitam,86000,Kluang,Johor,Malaysia",07-7714658,P.152 Kluang,N.29 Mahkota,2.018448,103.297813
McDonald'sMutiaraRiniDT,"SebahagianLot2144714,Lot2(PTD176566),TamanMutiaraRini,MukimPulai,86000JohorBahru,Johor,Malaysia",07-5212450,P.162 Iskandar Puteri,N.49 Kota Iskandar,1.514741,103.634202
McDonald'sMeruRayaDT,"Lot82,JalanMeruBestariA2,DiatasSebahagianZon5,BandarMeruRaya,MukimHuluKinta,30020,Kinta,Perak,Malaysia",05-5262233,P.063 Tambun,N.23 Manjoi,4.670849,101.07766
McDonald'sForestHeightDT,"SebahagianLot33369,MukimAmpanganSeremban,70450,Seremban,NegeriSembilan,Malaysia",06-7630260,P.130 Rasah,N.24 Seremban Jaya,2.699703,101.970083
McDonald'sPetronSection7,"No.5,PersiaranKayanganSeksyen7(Fasa3C),40000,ShahAlam,Selangor,Malaysia",03-55240645,P.108 Shah Alam,N.40 Kota Anggerik,3.065698,101.490766
McDonald'sSatokKuching,"Lot180&181,Ground&1stFloor,BangunanHajiAbdulRasit,JalanSatok,93400,Kuching,Sarawak,Malaysia",082-233598,P.194 Petra Jaya,N.08 Satok,1.553416,110.334022
McDonald'sAlorMengkuduDT,"No8-A,JalanAlorMengkudu,05400,AlorSetar,Kedah,Malaysia",04-7317304,P.009 Alor Setar,N.14 Alor Mengkudu,6.096192,100.376115
McDonald'sBatuCavesDT,"Lot52613,TamanSamudera,53000,BatuCaves,Selangor,Malaysia",03-61850130,P.098 Gombak,N.16 Sungai Tua,3.23509,101.689724
McDonald'sSriManjung2DT,"SebahagianLot13108,MukimLumut,DaerahManjung,32010,SriManjung,Perak,Malaysia",05-6879482,P.074 Lumut,N.51 Pasir Panjang,4.199325,100.655221
McDonald'sGongBadakDT,"LotNo.9154GM4340,JalanTengkuAmpuanIntanZaharah,MukimKualaNerus,21300,KualaTerengganu,Terengganu,Malaysia",09-6627800,P.035 Kuala Nerus,N.11 Seberang Takir,5.39816,103.084856
McDonald'sGiantJalanKebunDT,"PT128899,Batu31/2,JalanKebun,TamanMaznah,41000,BandarKlang,DaerahKlang,Selangor,Malaysia",03-33701985,P.111 Kota Raja,N.48 Sentosa,3.024657,101.479994
McDonald'sTamanDayaDT,"LotPTD110501,JalanNipah2,TamanDaya,81100,MukimTebrau,JohorBahru,Johor,Malaysia",07-3503205,P.158 Tebrau,N.41 Puteri Wangsa,1.543576,103.762622
McDonald'sSriSerdangPrima,"No.20-1,20-2&20-3,Jalan18/33A,TamanSriSerdang,43300,SeriKembangan,Selangor,Malaysia",03-89409037,P.103 Puchong,N.29 Seri Serdang,3.008579,101.714358
McDonald'sKokLanasDT,"Lot282,MukimMahangWest,DaerahKetereh,JajahanKotaBahru,16450,Kelantan,Malaysia",09-7882107,P.026 Ketereh,N.25 Kok Lanas,5.921957,102.244611
McDonald'sTabuanJayaDT,"Lot16843(Lots4581,9210and9212),Block11,MTLDJalanCanna,93150,Kuching,Sarawak,Malaysia",082-360395,P.195 Bandar Kuching,N.11 Batu Lintang,1.513061,110.387951
McDonald'sBandarPuteriPuchongDT,"No.G-6,No.1-6&No.2-6,JalanPuteri7/13A,BandarPuteri,47100,Puchong,Selangor,Malaysia",03-80514150,P.104 Subang,N.30 Kinrara,3.020174,101.625074
McDonald'sSerembanDT,"Lot24158(PT2)&Lot24159(PT3),PekanBukitKepayang,MukimRasah,70200,Seremban,NegeriSembilan,Malaysia",06-7627625,P.130 Rasah,N.21 Bukit Kepayang,2.716919,101.918724
McDonald'sJerantutDT,"Lot15495,MukimPedah,DaerahJerantut,27000,Jerantut,Pahang,Malaysia",09-2665900,P.081 Jerantut,N.10 Damak,3.933405,102.381333
"McDonald'sMJCBatuKawaDT,Kuching","Lot3421(ParentLot2433),Block217KNLD,BatuKawaNewTownship,93250,Kuching,Sarawak,Malaysia",082-462587,P.196 Stampin,N.13 Batu Kitang,1.511653,110.304554
McDonald'sKotaLaksamanaDT,"LotPT188,PekanKlebangSek.IV,DaerahMelakaTengah,BandarayaMelaka,75200,Melaka,Malaysia",06-2821406,P.138 Kota Melaka,N.19 Kesidang,2.202883,102.223247
McDonald'sBHPTamanMelawatiDT,"LotPT8669,JalanLingkaranTengahII,53100,KualaLumpur,Malaysia",03-41622318,P.116 Wangsa Maju,,3.220217,101.735889
McDonald'sBirchHouseDT,"No.73,JalanDato'Keramat,10150,Georgetown,PulauPinang,Malaysia",04-2265685,P.049 Tanjong,N.28 Komtar,5.412839,100.326031
McDonald'sMainPlace,"LotNoGF-36,GroundFloor,MainPlaceMall,JalanUSJ21/10,47630,SubangJaya,Selangor,Malaysia",03-80118420,P.104 Subang,N.31 Subang Jaya,3.02665,101.581506
McDonald'sNUSentral,"UnitNo.L4.02&03,Level4,1Sentral,JalanTravers,50470,KualaLumpur,Malaysia",03-22722054,P.120 Bukit Bintang,,3.133295,101.687277
McDonald'sBandarSriPinangDT,"No2,LebuhSungaiPinang4,11600,PulauPinang,Malaysia",04-2815291,P.050 Jelutong,N.30 Sungai Pinang,5.395419,100.326778
McDonald'sKLIA2Gateway,"LotL3-47-L3-50&L3-33,Level3,Gateway@KLIA2,H.S(D)7429,PTNo13,BandarLapanganTerbangAntarabangsaSepang,64000,Sepang,Selangor,Malaysia",03-87878271,P.113 Sepang,N.56 Sungai Pelek,2.743521,101.685438
McDonald'sMetroCityDT,"Lot14212(Plot79),MetroCityNewTownship,Section65,KuchingTownLandDistrict,JalanMatang,93050,Kuching,Sarawak,Malaysia",082-646793,P.194 Petra Jaya,N.06 Tupong,1.568231,110.308561
McDonald'sKangarDT,"JalanKampungBakau,01000,Kangar,Perlis,Malaysia",04-9779336,P.002 Kangar,N.08 Indera Kayangan,6.432622,100.196158
McDonald'sSeremban2DT,"LotPT560,BandarSerembanUtama,Seremban2,70300,Seremban,NegeriSembilan,Malaysia",06-6307043,P.130 Rasah,N.21 Bukit Kepayang,2.691766,101.906053
McDonald'sSriPetaling,"No63&63-1,JalanRadinTengah,BandarBaruSriPetaling,57000,KualaLumpur,Malaysia",03-90545927,P.122 Seputeh,,3.068888,101.6918
McDonald'sIOICityMall,"LotNos.57&58,IOICityMall,IOIResort,62502,Putrajaya,Selangor,Malaysia",03-89571562,P.113 Sepang,N.55 Dengkil,2.970368,101.712868
McDonald'sMuarDT,"Lot3070,JalanBakri,MukimBandarMaharani,84000,Muar,Johor,Malaysia",06-9510753,P.145 Bakri,N.13 Simpang Jeram,2.048498,102.59325
McDonald'sKajangPerdanaDT,"18,MukimSemenyih,DaerahUluLangat,43000,Kajang,Selangor,Malaysia",03-87417192,P.102 Bangi,N.25 Kajang,2.990079,101.819705
McDonald'sBandarSriPutraDT,"SebahagianLot38833,JalanSeriPutra1/9,BandarSeriPutra,43000,Kajang,Selangor,Malaysia",03-89120244,P.101 Hulu Langat,N.24 Semenyih,2.886726,101.792793
McDonald'sJalanGambangDT,"Lot121596,JalanKuantanGambang,KualaKuantan,25150,Kuantan,Pahang,Malaysia",09-5362746,P.083 Kuantan,N.15 Tanjung Lumpur,3.779836,103.276752
McDonald'sSabakBernamDT,"Lot24040PekanSungaiBesar,MukimPanchangBedena,45300,SabakBernam,Selangor,Malaysia",03-32243024,P.093 Sungai Besar,N.03 Sungai Panjang,3.673571,100.991464
McDonald'sKotaMasaiDT,"Lot85821,TamanKotaMasai,Plentong,81700,PasirGudang,Johor,Malaysia",07-2527842,P.159 Pasir Gudang,N.43 Permas,1.492546,103.918802
McDonald'sCalteDenaiAlamDT,"LotNo.3,PersiaranElektron,DenaiAlam,SectionU16,40160,ShahAlam,Selangor,Malaysia",03-77342914,P.108 Shah Alam,N.40 Kota Anggerik,3.159427,101.51307
McDonald'sMidValley3,"Tingkat3,MidValleyMegamall,LingkaranSyedPutra,59200,KualaLumpur,Malaysia",03-22010506,P.121 Lembah Pantai,,3.117399,101.677572
McDonald'sAmanCentral,"Unit1-39A,58,59,60,67&68,FirstFloor,AmanCentral,05100,AlorSetar,Kedah,Malaysia",04-7319299,P.009 Alor Setar,N.13 Kota Darul Aman,6.12524,100.366629
McDonald'sCalteJalanTengahDT,"No.23-A,JalanTengah,BayanBaru,11950,BayanLepas,PulauPinang,Malaysia",04-6380570,P.052 Bayan Baru,N.36 Pantai Jerejak,5.319377,100.284669
McDonald'sTamanUngkuTunAminahDT,"Lot13576,TamanUngkuAminah,MukimPulai,81300,JohorBahru,Johor,Malaysia",07-5571650,P.162 Iskandar Puteri,N.48 Skudai,1.513875,103.656394
McDonald'sKotaBahruDT,"Lot2994,JalanKualaKrai,WakafCheYeh,15050,KotaBahru,Kelantan,Malaysia",09-7405427,P.021 Kota Bharu,N.10 Bunut Payong,6.086991,102.238965
McDonald'sKLSentral,"Lot14,15,&16,FirstFloor,KualaLumpurSentralStation,50470,KualaLumpur,Malaysia",03-22711431,P.120 Bukit Bintang,,3.134615,101.686593
